MaGuru,MaGuru
Extensions,"Розширення"
"Extensions Info","Інформація про розширення"
"MaGuru Extensions Info","Інформація про розширення MaGuru"
"Instaled Extensions","Встановлені розширення"
"New Extensions","Нові розширення"
Link,"Посилання"
